Manager,Nationality,Club,Appointed,Time as manager,Salary (million)
Pep Guardiola,Spain,Manchester City,2016-07-01,"8 years, 130 days",20.0
Thomas Frank,Denmark,Brentford,2018-10-16,"6 years, 23 days",4.5
Mikel Arteta,Spain,Arsenal,2019-12-20,"4 years, 324 days",15.0
Marco Silva,Portugal,Fulham,2021-07-01,"3 years, 130 days",4.0
Eddie Howe,England,Newcastle United,2021-11-08,"3 years, 0 days",4.0
Kieran McKenna,Northern Ireland,Ipswich Town,2021-12-16,"2 years, 328 days",3.0
Unai Emery,Spain,Aston Villa,2022-11-01,"2 years, 7 days",8.0
Sean Dyche,England,Everton,2023-01-30,"1 year, 283 days",5.0
Ange Postecoglou,Australia,Tottenham Hotspur,2023-06-06,"1 year, 155 days",5.0
Andoni Iraola,Spain,Bournemouth,2023-06-19,"1 year, 142 days",1.0
Russell Martin,Scotland,Southampton,2023-06-21,"1 year, 140 days",2.0
Gary O'Neil,England,Wolverhampton Wanderers,2023-08-09,"1 year, 91 days",1.5
Nuno Espirito Santo,Portugal,Nottingham Forest,2023-12-20,324 days,2.0
Oliver Glasner,Austria,Crystal Palace,2024-02-19,263 days,4.5
Arne Slot,Netherlands,Liverpool,2024-06-01,160 days,6.2
Enzo Maresca,Italy,Chelsea,2024-06-03,158 days,4.2
Fabian Hurzeler,Germany,Brighton & Hove Albion,2024-06-15,146 days,2.0
Steve Cooper,Wales,Leicester City,2024-06-20,141 days,3.0
Julen Lopetegui,Spain,West Ham United,2024-07-01,130 days,3.4
Erik ten Hag,Netherlands,Manchester United,2022-07-01,"2 years,120 days",10.0
