Club,Player,InjuryType,ReturnDate
Arsenal,Ben White,Knee,March 2025
Arsenal,Declan Rice,Other,December 2024
Arsenal,Riccardo Calafiori,Knee,December 2024
Arsenal,Oleksandr Zinchenko,Other,December 2024
Arsenal,Takehiro Tomiyasu,Knee,N/A
Aston Villa,Jacob Ramsey,Thigh,January 2025
Aston Villa,Tyrone Mings,Illness,December 2024
Aston Villa,Leon Bailey,Thigh,December 2024
Bournemouth,Alex Scott,Knee,December 2024
Bournemouth,Luis Sinisterra,Thigh,December 2024
Bournemouth,Marcus Tavernier,Thigh,N/A
Bournemouth,Julian Araujo,Thigh,N/A
Bournemouth,Marcos Senesi,Thigh,N/A
Brentford,Josh Dasilva,Knee,February 2025
Brentford,Sepp van der Berg,Groin,December 2024
Brentford,Mathias Jensen,Thigh,December 2024
Brentford,Aaron Hickey,Thigh,N/A
Brentford,Rico Henry,Knee,N/A
Brentford,Ethan Pinnock,Thigh,N/A
Brentford,Igor Thiago,Other,N/A
Brentford,Gustavo Nunes,Lower Back,N/A
Brighton,James Milner,Thigh,January 2025
Brighton,Danny Welbeck,Ankle,December 2024
Brighton,Ferdi Kadioglu,Ankle,December 2024
Brighton,Jack Hinshelwood,Knee,December 2024
Brighton,Solly March,Other,December 2024
Brighton,Matt O’Reilly,Knock,December 2024
Brighton,Adam Webster,Thigh,December 2024
Brighton,Joel Veltman,Other,December 2024
Chelsea,Reece James,Thigh,January 2025
Chelsea,Wesley Fofana,Thigh,January 2025
Chelsea,Romeo Lavia,Other,December 2024
Chelsea,Benoit Badiashile,Other,December 2024
Chelsea,Omari Kellyman,Thigh,N/A
Crystal Palace,Matheus Franca,Groin,January 2025
Crystal Palace,Chadi Riad,Other,N/A
Crystal Palace,Rob Holding,Other,N/A
Everton,Timothy Iroegbunam,Ankle,January 2025
Everton,James Garner,Lower Back,January 2025
Everton,Dwight McNeil,Knee,N/A
Everton,Youssef Chermiti,Other,N/A
Everton,Dele Alli,Groin,N/A
Fulham,Reiss Nelson,Thigh,February 2025
Fulham,Harrison Reed,Knee,January 2025
Fulham,Kenny Tete,Knee,December 2024
Fulham,Joachim Andersen,Calf,December 2024
Ipswich,Chiedozie Ogbene,Calf,June 2025
Ipswich,George Hirst,Knee,January 2025
Ipswich,Janoi Donacien,Ankle,N/A
Ipswich,Sammie Szmodics,Illness,N/A
Ipswich,Axel Tuanzebe,Thigh,N/A
Leicester,Issahaku Fatawu,Knee,August 2025
Leicester,Wilfried Ndidi,Thigh,January 2025
Leicester,Harry Winks,Groin,December 2024
Leicester,Odsonne Edouard,Other,December 2024
Leicester,Mads Hermansen,Groin,N/A
Leicester,Ricardo Pereira,Thigh,N/A
Leicester,Jakub Stolarczyk,Ankle,November 2024
Liverpool,Conor Bradley,Thigh,January 2025
Liverpool,Ibrahima Konate,Knee,January 2025
Manchester City,Rodri,Knee,June 2025
Manchester City,Oscar Bobb,Other,January 2025
Manchester City,Nathan Ake,Thigh,January 2025
Manchester City,Manuel Akanji,Other,December 2024
Manchester United,Mason Mount,Other,N/A
Manchester United,Noussair Mazraoui,Other,N/A
Manchester United,Victor Lindelof,Other,N/A
Manchester United,Luke Shaw,Calf,N/A
Newcastle,Callum Wilson,Thigh,February 2025
Newcastle,Jamaal Lascelles,Knee,February 2025
Newcastle,Nick Pope,Knee,January 2025
Newcastle,Emil Krafth,Shoulder,January 2025
Newcastle,Joelinton,Head,December 2024
Newcastle,Sven Botman,Knee,N/A
Nottingham Forest,Ibrahim Sangare,Thigh,February 2025
Nottingham Forest,Danilo,Ankle,January 2025
Nottingham Forest,Ryan Yates,Ankle,December 2024
Nottingham Forest,Murillo,Other,December 2024
Nottingham Forest,Alex Moreno,Other,December 2024
Southampton,Gavin Bazunu,Calf,February 2025
Southampton,Ross Stewart,Calf,January 2025
Southampton,Kyle Walker-Peters,Other,December 2024
Southampton,Aaron Ramsdale,Wrist,December 2024
Southampton,Will Smallbone,Thigh,November 2024
Tottenham,Guglielmo Vicario,Ankle,March 2025
Tottenham,Richarlison,Thigh,January 2025
Tottenham,Ben Davies,Thigh,December 2024
Tottenham,Destiny Udogie,Thigh,December 2024
Tottenham,Timo Werner,Illness,December 2024
Tottenham,Wilson Odobert,Thigh,N/A
Tottenham,Cristian Romero,Thigh,N/A
Tottenham,Micky van de Ven,Thigh,N/A
West Ham,Jean-Clair Todibo,Groin,N/A
West Ham,Michail Antonio,Other,N/A
Wolves,Yerson Mosquera,Knee,June 2025
Wolves,Enso Gonzalez,Knee,June 2025
Wolves,Sasa Kalajdzic,Knee,January 2025
Wolves,Boubacar Traore,Knee,December 2024
Wolves,Jose Sa,Shoulder,December 2024
Wolves,Pablo Sarabia,Calf,December 2024
