coach_id,Manager,Nationality,Club,Appointed,Time as manager,Salary (million)
1,Pep Guardiola,Spain,Manchester City,1-Jul-16,8.356164383561644,20.0
2,Thomas Frank,Denmark,Brentford,16-Oct-18,6.063013698630137,4.5
3,Mikel Arteta,Spain,Arsenal,20-Dec-19,4.887671232876713,15.0
4,Marco Silva,Portugal,Fulham,1-Jul-21,3.356164383561644,4.0
5,Eddie Howe,England,Newcastle United,8-Nov-21,3.0,4.0
6,Kieran McKenna,Northern Ireland,Ipswich Town,16-Dec-21,2.898630136986301,3.0
7,Unai Emery,Spain,Aston Villa,1-Nov-22,2.0191780821917806,8.0
8,Sean Dyche,England,Everton,30-Jan-23,1.7753424657534247,5.0
9,Ange Postecoglou,Australia,Tottenham Hotspur,6-Jun-23,1.4246575342465753,5.0
10,Andoni Iraola,Spain,Bournemouth,19-Jun-23,1.389041095890411,1.0
11,Russell Martin,Scotland,Southampton,21-Jun-23,1.3835616438356164,2.0
12,Gary O'Neil,England,Wolverhampton Wanderers,9-Aug-23,1.2493150684931509,1.5
13,Nuno Espirito Santo,Portugal,Nottingham Forest,20-Dec-23,0.8876712328767123,2.0
14,Oliver Glasner,Austria,Crystal Palace,19-Feb-24,0.7205479452054795,4.5
15,Arne Slot,Netherlands,Liverpool,1-Jun-24,0.4383561643835616,6.2
16,Enzo Maresca,Italy,Chelsea,3-Jun-24,0.4328767123287671,4.2
17,Fabian Hurzeler,Germany,Brighton,15-Jun-24,0.4,2.0
18,Steve Cooper,Wales,Leicester City,20-Jun-24,0.3863013698630137,3.0
19,Julen Lopetegui,Spain,West Ham United,1-Jul-24,0.3561643835616438,3.4
20,Erik ten Hag,Netherlands,Manchester United,1-Jul-22,2.328767123287671,10.0
