gk_id,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Ast,G+A,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,Sh,Sh/90,xG_stats_shooting,npxG_stats_shooting,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Att_stats_defense,Lost,Blocks_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Tkld,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,CrdY_stats_misc,CrdR_stats_misc,Fls,Fld_stats_misc,Int_stats_misc,TklW_stats_misc,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Alisson,br BRA,GK,Liverpool,eng Premier League,31.0,1992.0,28,28,2508,27.9,0,0,0,0,0.0,0.0,0.6,0.6,0.0,0.02,0,1,0,0.0,0.0,0.0,0.0,0.0,794,959,82.8,17555,11360,0,0.6,0.2,-0.6,1,12,0,1,836,121,41,1,1,794,1,0,1,1,1,0,0,0,1,13,1,7,0.25,7,0,1,0.04,1011,742,991,20,0,0,1011,1,1,0,658,2625,1586,0,0,0,1,0,618,0,0,0,2,0,0,0,0,47,7,0,100.0,29.0,1.04,100.0,73.0,72.0,18.0,7.0,3.0,9.0,32.1,1.0,1.0,0.0,30.5,0.3,3.5,0.13,68.0,203.0,33.5,877.0,128.0,19.7,26.6,255.0,11.0,4.3,49.0,1.76,16.0
2,Alphonse Areola,fr FRA,GK,West Ham United,eng Premier League,31.0,1993.0,26,25,2260,25.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,688,989,69.6,18224,12284,0,0.0,0.0,0.0,0,11,0,1,716,268,72,0,3,688,2,2,2,3,1,0,0,0,2,15,3,3,0.12,2,1,0,0.0,1049,833,1038,12,0,0,1049,0,0,0,601,2480,1348,0,0,0,0,0,555,0,0,0,0,0,2,0,1,29,2,0,100.0,41.0,1.63,115.0,77.0,64.3,5.0,7.0,13.0,5.0,20.0,0.0,0.0,0.0,35.4,0.31,-2.6,-0.1,135.0,384.0,35.2,788.0,119.0,34.4,32.1,394.0,15.0,3.8,30.0,1.19,15.0
3,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,29.0,1994.0,31,31,2790,31.0,0,0,3,0,0.1,0.1,0.0,0.1,0.0,0.0,0,2,1,0.03,0.1,0.1,-0.1,-0.1,752,1027,73.2,20531,13943,0,0.0,0.0,0.0,1,10,0,2,728,295,103,0,0,752,1,0,1,2,2,2,2,0,1,15,3,4,0.13,2,2,0,0.0,1087,800,1057,29,1,1,1087,1,1,0,621,3129,1797,0,0,0,0,0,486,3,0,2,6,0,0,2,0,56,7,1,87.5,39.0,1.26,134.0,95.0,73.9,13.0,7.0,11.0,8.0,25.8,4.0,4.0,0.0,41.0,0.28,2.0,0.07,132.0,365.0,36.2,831.0,122.0,33.2,32.9,367.0,22.0,6.0,54.0,1.74,16.0
4,Brandon Austin,eng ENG,GK,Tottenham Hotspur,eng Premier League,25.0,1999.0,1,1,90,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,22,32,68.8,526,386,0,0.0,0.0,0.0,0,0,0,0,24,8,2,0,0,22,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,36,30,36,0,0,0,36,0,0,0,22,104,46,0,0,0,0,0,16,0,0,0,2,0,0,0,0,1,2,0,100.0,2.0,2.0,4.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.2,0.55,0.2,0.2,3.0,11.0,27.3,26.0,5.0,38.5,32.3,15.0,5.0,33.3,2.0,2.0,12.4
5,Altay Bayındır,tr TUR,GK,Manchester United,eng Premier League,26.0,1998.0,4,4,360,4.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,92,152,60.5,2444,1386,0,0.0,0.0,0.0,0,1,0,0,121,31,7,0,0,92,0,0,0,1,1,0,0,0,0,9,1,0,0.0,0,0,0,0.0,168,145,166,2,0,0,168,0,0,0,110,432,196,0,0,0,0,0,103,0,0,0,1,0,0,0,0,3,1,1,50.0,10.0,2.5,17.0,8.0,41.2,1.0,0.0,3.0,1.0,25.0,0.0,0.0,0.0,10.1,0.59,1.1,0.27,13.0,62.0,21.0,128.0,12.0,34.4,34.1,56.0,4.0,7.1,7.0,1.75,12.0
6,Daniel Bentley,eng ENG,GK,Wolverhampton Wanderers,eng Premier League,31.0,1993.0,2,2,180,2.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,49,65,75.4,1252,851,0,0.0,0.0,0.0,0,1,0,0,45,20,7,0,0,49,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,69,50,68,1,0,0,69,0,0,0,39,218,134,0,0,0,0,0,26,0,0,0,0,0,0,0,0,4,2,0,100.0,4.0,2.0,12.0,8.0,66.7,1.0,0.0,1.0,1.0,50.0,0.0,0.0,0.0,3.9,0.33,-0.1,-0.04,7.0,21.0,33.3,52.0,6.0,25.0,28.1,25.0,0.0,0.0,3.0,1.5,16.4
7,Martin Dúbravka,sk SVK,GK,Newcastle United,eng Premier League,35.0,1989.0,10,10,900,10.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,265,333,79.6,5932,3082,0,0.0,0.0,0.0,0,0,0,0,246,86,27,0,1,265,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0,0,0,0.0,350,262,337,14,0,0,350,0,0,0,202,1043,643,0,0,0,0,0,175,0,0,0,1,0,0,0,0,18,4,0,100.0,12.0,1.2,41.0,29.0,70.7,7.0,0.0,3.0,5.0,50.0,0.0,0.0,0.0,12.9,0.32,0.9,0.09,18.0,80.0,22.5,273.0,54.0,15.8,25.2,127.0,10.0,7.9,11.0,1.1,15.3
8,Ederson,br BRA,GK,Manchester City,eng Premier League,30.0,1993.0,26,26,2320,25.8,4,4,4,0,0.0,0.0,1.5,1.5,0.16,0.06,0,2,0,0.0,0.0,0.0,0.0,0.0,811,923,87.9,19885,13212,4,1.5,0.2,2.5,4,21,1,2,817,106,29,1,2,811,0,0,0,2,2,0,0,1,1,11,4,6,0.23,6,0,4,0.16,975,689,962,13,0,0,975,0,0,0,654,3060,1981,0,0,0,1,0,616,4,0,1,0,1,0,1,0,42,4,1,80.0,26.0,1.01,78.0,53.0,69.2,16.0,4.0,6.0,10.0,38.5,2.0,2.0,0.0,30.0,0.37,5.0,0.19,72.0,165.0,43.6,846.0,108.0,17.4,27.9,224.0,13.0,5.8,49.0,1.9,17.5
9,Łukasz Fabiański,pl POL,GK,West Ham United,eng Premier League,39.0,1985.0,14,13,1160,12.9,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,332,495,67.1,9586,6808,0,0.0,0.0,0.0,0,5,0,0,351,143,43,0,0,332,0,0,0,1,1,0,0,0,0,5,1,3,0.23,2,1,0,0.0,530,414,525,5,0,0,530,3,3,0,285,1485,890,0,0,0,0,0,248,2,0,2,1,0,0,2,0,5,3,1,75.0,21.0,1.63,71.0,50.0,74.6,6.0,3.0,4.0,2.0,15.4,3.0,3.0,0.0,22.6,0.29,1.6,0.12,77.0,226.0,34.1,394.0,55.0,41.9,35.5,220.0,10.0,4.5,12.0,0.93,13.1
10,Mark Flekken,nl NED,GK,Brentford,eng Premier League,31.0,1993.0,37,37,3275,36.4,2,2,1,0,0.0,0.0,0.5,0.5,0.05,0.01,0,0,0,0.0,0.0,0.0,0.0,0.0,1254,1717,73.0,37000,25308,2,0.5,0.1,1.5,3,50,2,0,1367,343,131,0,5,1254,4,4,4,9,6,2,2,0,4,26,4,10,0.27,6,4,2,0.05,1824,1436,1777,52,0,0,1824,1,1,0,1122,5725,3253,0,0,0,3,0,1015,1,0,0,3,0,4,0,0,39,4,0,100.0,55.0,1.51,203.0,150.0,73.4,16.0,8.0,13.0,7.0,18.9,1.0,1.0,0.0,52.7,0.26,-0.3,-0.01,249.0,659.0,37.8,1498.0,122.0,33.7,34.4,581.0,46.0,7.9,34.0,0.93,11.5
11,Fraser Forster,eng ENG,GK,Tottenham Hotspur,eng Premier League,36.0,1988.0,7,7,630,7.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,168,198,84.8,3349,2105,0,0.0,0.0,0.0,0,1,0,0,125,72,16,0,1,168,0,0,0,1,1,0,0,0,0,7,3,0,0.0,0,0,0,0.0,228,212,228,0,0,0,228,1,1,0,113,501,264,0,0,0,1,0,94,0,0,0,0,0,0,0,0,1,1,0,100.0,15.0,2.14,42.0,27.0,69.0,1.0,2.0,4.0,1.0,14.3,2.0,2.0,0.0,16.5,0.36,1.5,0.21,11.0,31.0,35.5,141.0,30.0,21.3,27.2,81.0,4.0,4.9,3.0,0.43,11.1
